timestamp,active_addresses,average_transaction_value,block_height,block_size,block_time,current_supply,difficulty,hashrate,large_transaction_count,new_addresses,transaction_count,transaction_count_all_time,unique_addresses_all_time,zero_balance_addresses_all_time
2018-02-03,722943,4.66949463657193,507501.0,996566.0,540.643312101911,16843752.295300197,2603077300218.59,20679312.262150697,11632,282609,194891,297405256,371422059,333021562
2018-02-04,727585,5.59770451828519,507679.0,990487.0,483.74011299435,16845977.295300197,2603077300218.59,23111856.0836186,9911,252651,173687,297578943,371674710,333381752
2018-02-05,910410,8.54542003252705,507864.0,1102733.0,462.864130434783,16848289.795299403,2603077300218.59,24154241.2519566,12984,312931,216363,297795306,371987641,333847390
2018-02-06,1007028,7.8417688690419505,508034.0,1067524.0,505.29585798816595,16850414.7952995,2607870187292.66,22166651.456893,13306,364513,244120,298039426,372352154,334327447
2018-02-07,819765,5.42821140127719,508175.0,1071722.0,611.8142857142859,16852177.295299403,2874674234415.94,20180358.8307124,11710,318995,213719,298253145,372671149,334716683
2018-02-08,750412,6.7604380776347,508306.0,1048305.0,657.107692307692,16853814.7952995,2874674234415.94,18789358.2254535,10564,260103,173289,298426434,372931252,335088259
2018-02-09,778811,6.43293979730299,508441.0,1076192.0,637.253731343283,16855502.295299403,2874674234415.94,19374750.1445688,10938,279922,177860,298604294,373211174,335432903
2018-02-10,746239,8.460562318479179,508584.0,1034792.0,605.859154929577,16857289.7952995,2874674234415.94,20378716.279207602,9857,277035,181783,298786077,373488209,335788775
2018-02-11,821981,9.50087667687109,508735.0,1006919.0,571.006666666666,16859177.2952995,2874674234415.94,21622570.3555189,7898,229488,147208,298933285,373717697,336216091
2018-02-12,918494,8.959767516861891,508901.0,1041291.0,518.327272727273,16861252.2952995,2874674234415.94,23820146.9864904,10414,289180,186918,299120203,374006877,336711435
2018-02-13,856261,7.190589884302731,509065.0,1032956.0,513.0,16863302.295299403,2874674234415.94,24067508.4278173,10686,281760,182984,299303187,374288637,337162720
2018-02-14,941608,7.92709887114252,509244.0,1015834.0,479.359550561798,16865539.7952995,2874674234415.94,25756515.7698441,11546,297680,196417,299499604,374586317,337666973
2018-02-15,792480,7.15890961213641,509375.0,1063894.0,641.561538461538,16867177.2952995,2874674234415.94,19244657.1112687,11754,305202,198183,299697787,374891519,338050006
